order_id,orderDate,customer_id,Resturant_ID,Fooditem,quantity,deliver_status,payment_method
256184,01-04-2023,29,212,2142,5,Delivered,COD
256185,01-04-2023,24,213,2152,7,Delivered,COD
256186,01-04-2023,28,212,2145,2,Delivered,UPI
256187,01-04-2023,4,213,2149,2,Delivered,UPI
256188,01-04-2023,30,211,2141,4,Cancelled,UPI
256189,01-04-2023,17,212,2147,4,Delivered,COD
256190,01-04-2023,17,211,2142,4,Delivered,COD
256191,01-04-2023,15,216,2161,7,Delivered,UPI
256192,02-04-2023,10,211,2141,7,Delivered,COD
256193,02-04-2023,29,212,2147,7,Delivered,UPI
256194,02-04-2023,25,213,2148,4,Delivered,UPI
256195,02-04-2023,3,212,2145,10,Delivered,COD
256196,02-04-2023,4,213,2150,5,Delivered,UPI
256197,02-04-2023,13,211,2144,1,Delivered,COD
256198,02-04-2023,4,212,2147,9,Delivered,UPI
256199,02-04-2023,25,217,2165,10,Delivered,UPI
256200,02-04-2023,4,212,2145,1,Delivered,UPI
256201,02-04-2023,28,211,2142,9,Delivered,UPI
256202,02-04-2023,6,211,2144,2,Delivered,COD
256203,02-04-2023,9,212,2145,8,Delivered,UPI
256204,02-04-2023,26,212,2145,1,Delivered,UPI
256205,02-04-2023,12,211,2142,9,Delivered,UPI
256206,02-04-2023,18,211,2142,7,Delivered,UPI
256207,02-04-2023,30,211,2142,6,Delivered,UPI
256208,02-04-2023,6,211,2142,7,Cancelled,COD
256209,02-04-2023,18,212,2147,8,Delivered,Card
256210,02-04-2023,27,216,2163,2,Delivered,UPI
256211,02-04-2023,30,212,2147,6,Delivered,UPI
256212,02-04-2023,23,217,2165,4,Delivered,COD
256213,02-04-2023,4,217,2165,5,Delivered,COD
256214,02-04-2023,18,211,2141,6,Delivered,COD
256215,03-04-2023,25,212,2147,1,Delivered,UPI
256216,03-04-2023,19,216,2163,1,Delivered,UPI
256217,03-04-2023,25,211,2141,6,Delivered,UPI
256218,03-04-2023,16,212,2147,4,Delivered,UPI
256219,03-04-2023,15,211,2142,6,Delivered,UPI
256220,03-04-2023,19,211,2143,6,Delivered,COD
256221,03-04-2023,4,211,2142,4,Delivered,UPI
256222,03-04-2023,15,214,2155,4,Delivered,COD
256223,03-04-2023,6,212,2145,2,Delivered,COD
256224,03-04-2023,3,211,2141,7,Delivered,UPI
256225,03-04-2023,24,211,2141,7,Delivered,UPI
256226,03-04-2023,30,212,2145,4,Delivered,UPI
256227,04-04-2023,15,217,2165,10,Delivered,UPI
256228,04-04-2023,4,216,2161,3,Delivered,COD
256229,04-04-2023,30,214,2154,8,Delivered,COD
256230,04-04-2023,12,213,2148,10,Delivered,UPI
256231,04-04-2023,13,217,2165,3,Delivered,UPI
256232,04-04-2023,15,211,2141,9,Delivered,COD
256233,04-04-2023,6,211,2142,4,Delivered,UPI
256234,04-04-2023,26,217,2164,2,Delivered,UPI
256235,04-04-2023,7,211,2142,5,Delivered,UPI
256236,04-04-2023,26,217,2164,2,Delivered,UPI
256237,04-04-2023,15,212,2145,8,Delivered,COD
256238,04-04-2023,25,214,2152,1,Delivered,Card
256239,04-04-2023,23,217,2164,7,Delivered,UPI
256240,04-04-2023,21,211,2144,8,Delivered,UPI
256241,04-04-2023,6,213,2150,5,Cancelled,UPI
256242,04-04-2023,6,211,2142,7,Delivered,COD
256243,04-04-2023,21,212,2145,3,Delivered,Card
256244,04-04-2023,13,212,2147,3,Delivered,COD
256245,04-04-2023,30,212,2147,2,Delivered,UPI
256246,04-04-2023,3,212,2147,2,Delivered,UPI
256247,04-04-2023,25,212,2145,4,Delivered,COD
256248,04-04-2023,25,212,2147,6,Delivered,COD
256249,04-04-2023,13,211,2144,4,Delivered,COD
256250,04-04-2023,16,211,2142,6,Delivered,UPI
256251,04-04-2023,25,213,2150,7,Cancelled,UPI
256252,04-04-2023,3,212,2147,2,Delivered,UPI
256253,04-04-2023,11,217,2165,6,Delivered,UPI
256254,04-04-2023,16,217,2166,2,Delivered,UPI
256255,04-04-2023,1,211,2143,7,Delivered,Card
256256,04-04-2023,4,211,2142,5,Delivered,UPI
256257,04-04-2023,8,216,2160,5,Delivered,COD
256258,04-04-2023,19,211,2141,2,Delivered,UPI
256259,04-04-2023,22,216,2160,1,Delivered,COD
256260,04-04-2023,17,211,2142,1,Delivered,UPI
256261,05-04-2023,9,214,2154,6,Delivered,UPI
256262,05-04-2023,26,211,2141,2,Delivered,UPI
256263,05-04-2023,25,217,2167,5,Delivered,UPI
256264,05-04-2023,9,212,2147,3,Delivered,COD
256265,05-04-2023,25,211,2142,1,Cancelled,UPI
256266,05-04-2023,10,211,2143,2,Delivered,UPI
256267,05-04-2023,8,211,2142,6,Delivered,COD
256268,05-04-2023,1,212,2146,10,Delivered,UPI
256269,05-04-2023,2,214,2151,8,Delivered,Card
256270,05-04-2023,25,214,2151,4,Delivered,UPI
256271,05-04-2023,25,211,2141,5,Delivered,UPI
256272,05-04-2023,4,211,2142,8,Delivered,Card
256273,05-04-2023,25,212,2147,2,Delivered,UPI
256274,05-04-2023,18,214,2154,5,Delivered,Card
256275,05-04-2023,7,217,2164,6,Delivered,COD
256276,05-04-2023,23,211,2142,3,Delivered,COD
256277,05-04-2023,4,212,2145,5,Delivered,UPI
256278,05-04-2023,19,214,2154,10,Delivered,UPI
256279,05-04-2023,27,217,2164,6,Delivered,COD
256280,05-04-2023,25,213,2149,7,Delivered,UPI
256281,05-04-2023,10,217,2164,5,Delivered,UPI
256282,06-04-2023,7,213,2150,2,Delivered,UPI
256283,06-04-2023,4,213,2148,10,Delivered,UPI
256284,06-04-2023,25,214,2152,3,Delivered,UPI
256285,07-04-2023,25,212,2146,10,Delivered,COD
256286,07-04-2023,15,216,2160,5,Delivered,UPI
256287,07-04-2023,16,213,2148,3,Delivered,COD
256288,07-04-2023,4,214,2153,10,Delivered,Card
256289,08-04-2023,25,212,2147,8,Delivered,UPI
256290,08-04-2023,14,212,2145,6,Delivered,Card
256291,08-04-2023,5,212,2147,2,Delivered,UPI
256292,08-04-2023,25,214,2153,5,Delivered,COD
256293,08-04-2023,1,217,2167,2,Delivered,UPI
256294,08-04-2023,4,217,2165,7,Delivered,UPI
256295,08-04-2023,10,212,2147,8,Delivered,COD
256296,08-04-2023,15,213,2150,2,Delivered,UPI
256297,08-04-2023,22,211,2141,2,Delivered,UPI
256298,08-04-2023,25,211,2142,5,Delivered,UPI
256299,08-04-2023,12,216,2161,4,Delivered,UPI
256300,08-04-2023,12,216,2162,5,Delivered,UPI
256301,08-04-2023,28,213,2149,10,Cancelled,UPI
256302,08-04-2023,10,211,2144,4,Delivered,UPI
256303,08-04-2023,10,212,2145,7,Delivered,COD
256304,08-04-2023,2,217,2166,9,Delivered,Card
256305,08-04-2023,25,211,2144,10,Delivered,UPI
256306,08-04-2023,18,212,2147,1,Delivered,UPI
256307,08-04-2023,5,217,2165,9,Delivered,UPI
256308,08-04-2023,26,214,2155,2,Delivered,COD
256309,08-04-2023,18,211,2142,6,Delivered,Card
256310,08-04-2023,18,212,2147,4,Delivered,UPI
256311,08-04-2023,14,213,2148,2,Delivered,COD
256312,08-04-2023,9,212,2147,6,Delivered,Card
256313,08-04-2023,10,212,2147,7,Delivered,Card
256314,08-04-2023,3,214,2155,10,Delivered,UPI
256315,08-04-2023,6,213,2148,9,Cancelled,UPI
256316,08-04-2023,27,214,2153,2,Delivered,UPI
256317,08-04-2023,15,213,2149,9,Delivered,COD
256318,08-04-2023,16,211,2141,1,Delivered,COD
256319,08-04-2023,21,216,2163,5,Delivered,UPI
256320,08-04-2023,4,214,2155,3,Delivered,Card
256321,08-04-2023,22,212,2145,6,Delivered,UPI
256322,08-04-2023,8,213,2150,10,Delivered,COD
256323,08-04-2023,19,214,2155,2,Delivered,UPI
256324,08-04-2023,8,214,2151,9,Delivered,UPI
256325,08-04-2023,3,211,2141,10,Delivered,UPI
256326,08-04-2023,28,213,2150,10,Delivered,UPI
256327,08-04-2023,9,211,2142,8,Delivered,UPI
256328,08-04-2023,16,213,2150,8,Delivered,UPI
256329,08-04-2023,4,212,2146,5,Delivered,COD
256330,08-04-2023,5,213,2149,7,Delivered,COD
256331,08-04-2023,20,214,2152,2,Delivered,Card
256332,08-04-2023,22,212,2145,8,Delivered,UPI
256333,09-04-2023,13,216,2160,10,Delivered,UPI
256334,09-04-2023,2,213,2150,7,Delivered,COD
256335,09-04-2023,25,216,2163,2,Delivered,COD
256336,09-04-2023,25,212,2147,6,Delivered,Card
256337,09-04-2023,4,214,2154,7,Cancelled,COD
256338,09-04-2023,24,211,2141,4,Delivered,UPI
256339,09-04-2023,25,217,2167,5,Delivered,COD
256340,10-04-2023,4,213,2148,5,Delivered,COD
256341,10-04-2023,4,211,2141,8,Delivered,UPI
256342,10-04-2023,24,216,2160,4,Delivered,UPI
256343,10-04-2023,25,216,2163,1,Delivered,UPI
256344,10-04-2023,25,212,2147,4,Delivered,UPI
256345,11-04-2023,25,213,2148,7,Delivered,UPI
256346,11-04-2023,28,214,2153,6,Delivered,UPI
256347,11-04-2023,8,211,2141,7,Delivered,UPI
256348,12-04-2023,19,216,2162,3,Delivered,COD
256349,13-04-2023,4,217,2165,9,Delivered,Card
