order_id,orderDate,customer_id,Resturant_ID,Fooditem,quantity,deliver_status,payment_method
254627,01-02-2023,5,212,2146,9,Delivered,COD
254628,01-02-2023,4,212,2147,9,Delivered,UPI
254629,01-02-2023,25,212,2145,8,Delivered,Card
254630,01-02-2023,5,212,2147,5,Delivered,COD
254631,01-02-2023,4,212,2145,2,Delivered,UPI
254632,01-02-2023,29,216,2163,3,Delivered,UPI
254633,01-02-2023,5,212,2147,7,Delivered,UPI
254634,01-02-2023,7,216,2160,1,Cancelled,COD
254635,01-02-2023,20,213,2149,1,Cancelled,UPI
254636,01-02-2023,4,214,2151,8,Delivered,COD
254637,01-02-2023,11,212,2146,10,Delivered,UPI
254638,01-02-2023,26,213,2149,6,Delivered,COD
254639,01-02-2023,23,213,2149,3,Delivered,UPI
254640,01-02-2023,3,214,2152,9,Delivered,COD
254641,01-02-2023,4,212,2146,4,Delivered,Card
254642,01-02-2023,25,217,2165,5,Delivered,COD
254643,01-02-2023,25,212,2145,4,Delivered,UPI
254644,01-02-2023,7,212,2147,6,Delivered,UPI
254645,01-02-2023,27,214,2154,3,Cancelled,Card
254646,01-02-2023,26,214,2155,9,Cancelled,UPI
254647,01-02-2023,10,214,2154,4,Delivered,COD
254648,01-02-2023,25,211,2141,9,Delivered,COD
254649,01-02-2023,4,213,2149,5,Delivered,COD
254650,01-02-2023,7,211,2142,2,Delivered,Card
254651,02-02-2023,4,212,2145,3,Delivered,UPI
254652,02-02-2023,29,212,2147,5,Delivered,UPI
254653,02-02-2023,10,216,2163,4,Cancelled,UPI
254654,02-02-2023,29,212,2147,9,Cancelled,UPI
254655,02-02-2023,1,212,2145,8,Delivered,UPI
254656,02-02-2023,4,212,2147,2,Delivered,COD
254657,02-02-2023,4,211,2141,4,Delivered,UPI
254658,02-02-2023,27,212,2147,10,Delivered,UPI
254659,02-02-2023,24,211,2142,10,Delivered,Card
254660,02-02-2023,27,213,2148,3,Delivered,COD
254661,02-02-2023,25,212,2146,8,Delivered,UPI
254662,02-02-2023,25,211,2141,10,Delivered,COD
254663,02-02-2023,7,211,2142,3,Delivered,UPI
254664,02-02-2023,27,211,2143,7,Delivered,UPI
254665,02-02-2023,8,213,2148,3,Delivered,UPI
254666,02-02-2023,4,212,2145,1,Cancelled,COD
254667,02-02-2023,25,214,2155,6,Delivered,UPI
254668,02-02-2023,2,211,2141,5,Cancelled,UPI
254669,02-02-2023,30,213,2149,3,Cancelled,COD
254670,02-02-2023,25,213,2148,5,Delivered,UPI
254671,02-02-2023,21,211,2144,3,Delivered,UPI
254672,02-02-2023,8,212,2147,1,Delivered,UPI
254673,02-02-2023,10,214,2155,1,Delivered,UPI
254674,02-02-2023,27,214,2154,6,Delivered,UPI
254675,02-02-2023,26,217,2165,2,Delivered,UPI
254676,02-02-2023,30,212,2147,1,Delivered,UPI
254677,02-02-2023,24,212,2145,7,Delivered,UPI
254678,02-02-2023,23,211,2141,2,Delivered,COD
254679,02-02-2023,4,212,2147,5,Delivered,UPI
254680,02-02-2023,12,213,2149,4,Delivered,UPI
254681,02-02-2023,25,211,2144,6,Delivered,COD
254682,02-02-2023,21,217,2164,9,Delivered,Card
254683,02-02-2023,30,214,2151,9,Delivered,UPI
254684,02-02-2023,4,213,2150,6,Delivered,UPI
254685,02-02-2023,7,216,2160,4,Delivered,UPI
254686,02-02-2023,26,216,2163,7,Delivered,UPI
254687,02-02-2023,4,214,2154,1,Delivered,UPI
254688,02-02-2023,20,213,2150,5,Delivered,COD
254689,02-02-2023,4,212,2147,8,Delivered,Card
254690,02-02-2023,2,211,2141,6,Delivered,UPI
254691,02-02-2023,14,213,2149,10,Delivered,Card
254692,02-02-2023,4,214,2155,6,Delivered,UPI
254693,02-02-2023,29,213,2149,9,Delivered,UPI
254694,02-02-2023,15,216,2163,5,Delivered,COD
254695,02-02-2023,1,212,2147,2,Delivered,COD
254696,02-02-2023,11,212,2145,3,Delivered,COD
254697,02-02-2023,9,214,2154,3,Delivered,Card
254698,03-02-2023,3,212,2147,8,Delivered,COD
254699,03-02-2023,24,211,2141,2,Delivered,UPI
254700,03-02-2023,4,212,2145,8,Cancelled,COD
254701,03-02-2023,15,211,2141,2,Cancelled,UPI
254702,03-02-2023,17,211,2141,2,Delivered,UPI
254703,03-02-2023,28,212,2147,3,Delivered,UPI
254704,03-02-2023,4,213,2149,7,Delivered,COD
254705,03-02-2023,12,211,2142,6,Delivered,COD
254706,03-02-2023,11,212,2145,8,Delivered,UPI
254707,03-02-2023,29,217,2165,9,Delivered,UPI
254708,03-02-2023,25,211,2142,2,Delivered,COD
254709,03-02-2023,20,211,2143,4,Delivered,UPI
254710,03-02-2023,8,212,2145,4,Delivered,COD
254711,03-02-2023,2,211,2142,10,Cancelled,UPI
254712,03-02-2023,28,214,2151,9,Cancelled,UPI
254713,03-02-2023,20,213,2148,4,Delivered,UPI
