order_id,orderDate,customer_id,Resturant_ID,Fooditem,quantity,deliver_status,payment_method
255419,01-03-2023,10,211,2141,4,Delivered,UPI
255420,01-03-2023,4,213,2149,2,Delivered,UPI
255421,01-03-2023,4,217,2165,5,Delivered,Card
255422,01-03-2023,7,212,2145,1,Delivered,UPI
255423,01-03-2023,28,211,2141,4,Delivered,UPI
255424,01-03-2023,7,211,2142,5,Delivered,UPI
255425,01-03-2023,25,213,2150,10,Delivered,UPI
255426,01-03-2023,19,212,2145,10,Delivered,COD
255427,01-03-2023,28,214,2152,10,Delivered,Card
255428,01-03-2023,8,217,2164,8,Delivered,UPI
255429,01-03-2023,25,213,2148,7,Delivered,UPI
255430,01-03-2023,4,212,2146,1,Delivered,COD
255431,01-03-2023,25,214,2155,2,Delivered,Card
255432,02-03-2023,13,213,2150,3,Delivered,COD
255433,02-03-2023,2,211,2142,4,Delivered,UPI
255434,02-03-2023,29,212,2147,7,Delivered,COD
255435,02-03-2023,25,211,2141,6,Delivered,UPI
255436,02-03-2023,2,212,2145,8,Delivered,UPI
255437,02-03-2023,10,214,2152,6,Delivered,COD
255438,02-03-2023,1,217,2165,2,Delivered,UPI
255439,02-03-2023,9,212,2147,4,Delivered,Card
255440,02-03-2023,21,212,2147,4,Delivered,COD
255441,02-03-2023,21,216,2163,4,Delivered,UPI
255442,02-03-2023,30,212,2147,4,Delivered,UPI
255443,02-03-2023,1,216,2163,1,Delivered,UPI
255444,02-03-2023,13,211,2144,9,Delivered,Card
255445,02-03-2023,9,216,2160,10,Delivered,UPI
255446,02-03-2023,16,211,2142,7,Delivered,UPI
255447,02-03-2023,6,211,2141,4,Delivered,COD
255448,02-03-2023,5,211,2142,8,Delivered,UPI
255449,02-03-2023,18,211,2141,10,Delivered,COD
255450,02-03-2023,2,213,2150,1,Delivered,UPI
255451,02-03-2023,30,213,2149,1,Delivered,UPI
255452,02-03-2023,25,212,2147,2,Delivered,COD
255453,02-03-2023,10,214,2155,9,Delivered,UPI
255454,02-03-2023,25,211,2142,4,Delivered,UPI
255455,02-03-2023,4,212,2147,3,Delivered,COD
255456,02-03-2023,5,214,2155,9,Delivered,COD
255457,02-03-2023,7,216,2162,7,Delivered,Card
255458,02-03-2023,4,212,2145,3,Delivered,UPI
255459,02-03-2023,9,214,2155,3,Delivered,UPI
255460,02-03-2023,25,212,2145,7,Delivered,COD
255461,02-03-2023,18,216,2161,2,Delivered,Card
255462,02-03-2023,28,212,2147,3,Delivered,Card
255463,02-03-2023,28,211,2144,4,Delivered,UPI
255464,02-03-2023,4,214,2152,9,Delivered,COD
255465,02-03-2023,16,212,2147,7,Delivered,UPI
255466,02-03-2023,24,212,2147,8,Delivered,COD
255467,02-03-2023,15,216,2160,4,Delivered,UPI
255468,02-03-2023,27,212,2147,1,Delivered,UPI
255469,02-03-2023,25,217,2165,7,Delivered,COD
255470,03-03-2023,26,212,2146,2,Delivered,UPI
